Comment,Task 1 A,Task 1 B,
More devices that are able to help you get around quicker or even devices that get right to the source without having any trouble ,IOT,Connect,
Find a better way to have a safer access to transport at all hours for all ages.,Mobility,Edu,
Maybe create an app that has a list of all of the services the city has available ,Connect,IOT,
Transportation technology for users should be easier ,Mobility,Edu,
Better google map,Other,Other,
I would like technology to help older people understand how to use or creat a website ,IOT,Edu,
Online education,Edu,Edu,
Make them more user friendly and accessible ,IOT,Edu,
Create user friendly apps to register for programs,Edu,IOT,
I want an app to pay for my water and wifi services. Also an app to bus transportation. ,IOT,Mobility,
Quality control with cost efficient services ,Edu,Util,
All people to communicate ,Other,Other,
Mad internet gratuito,Connect,Edu,
Having accessible hotspot all around town,Edu,Connect,
Better connect to getting someone attention,Connect,Connect,
To provide info about healthy foods,Edu,Edu,
More/easier access ,Other,Other,
To make things more efficient for us,Edu,Edu,
Faster and easier,Other,Other,
Making sure first responders can use current and future technology to keep our city safe.,IOT,Connect,
"Needs to be convenient, and accessible from all areas of San Antonio
",Connect,IOT,
Increase access to internet. Make it public utility ,Util,Public,
Affordable internet for all,Public,Util,
Better area,Other,Other,
Allow all the residents to access internet.,Cyber,Connect,
Increased efficiencies,Other,Other,
"I would like to have the ability to have Wi-Fi connectivity all throughout the city with reliable service. I would also like to have an ability to know who does what. What schools are involved, how are businesses contributing and what is the overall goal and the progression toward it. I would like to see more advancement in transit and options.",Edu,Edu,
Better response time and follow portal for code violations reported.,Public,Edu,
More private among the public,Other,Other,
User friendly apps,IOT,IOT,
An app to locate services and directions across the county ,IOT,Util,
Not everyone can afford the internet.  Provide free free to all elderly and provide resources to teach them ,Util,Connect,
Affordable housing,Public,Public,
Wifi,Other,Other,
Free internet access ,Other,Connect,
Internet gratis,Other,Other,
Being protected again still online threats stolen information and information being collected while using the internet ,Cyber,Cyber,
Affordable internet for family ,Connect,Connect,
improve internet towers ,Connect,Connect,
Use the latest technology available to make public services more accessible,Connect,Public,
"more clarity and faster response
",Other,Other,
I would like technology to be used to protect the safety of our community ,IOT,Cyber,
"To cut time in lines, to allow more business to be done online rather than in person, to educate public and increase participation, to match volunteers with needs, to provide dashboards to track stats and solve problems like public health, water levels and insecurity, food insecurity and access points, animal control, public transportation, school rankings and needs, etc.",Edu,Edu,
I would like technology to be easily accessible to all people in order for them to find any information they need.,IOT,Edu,
Easier apps to navigate,Connect,Connect,
Convenience and easy to use applications that have no errors. Apps that are accessible for elderly and people with disabilities will greatly improve the health of the cityÕs people in the future.  ,Connect,IOT,
Having access to public services in public parks,Public,Util,
More advertisement for programs to help the community ,Edu,Public,
"Help the homeless, share my opinion of NISD, allow voices to be heard, allow freedom of speech, allow freedom of religion",Public,Public,
Track crime,Other,Other,
Idk,Other,Other,
Put more imo,Other,Other,
More free software training for families .,IOT,Edu,
Much better traffic signals management needed. Most intersections are holding up traffic flow in both directions much longer than needed.,Mobility,Connect,
Like things that would improve city services,Util,Public,
Online chats on city websites; better website design ,Other,Other,
Create a site that list all public/emergency services by zip code,Connect,Mobility,
Easier scheduling for transportation and services,Mobility,Mobility,
Make it friendly. Some of us are technologically challenged. ,Connect,Edu,
User friendly ,Other,Other,
Being able to access expanding senior services,Other,Other,
Continue to make information available online,Connect,Edu,
Low cost internet services,Connect,Edu,
Make it easier for citizens to have input,Other,Other,
more education,Other,Other,
centralized databases for information,Other,Other,
Easier to use with better access to internet connection,Connect,Edu,
Provide emergency information to all citizens. Snow storm last time left us all in the dark,Connect,Edu,
Access to what is going on in city and neighborhood ,Connect,Edu,
Better safeguards,Other,Other,
Accessible 24/7 - easy to find public facilities such as library or others,Util,Public,
"make it easier to access, never can remember passwords!",Connect,Edu,
"Creat smarter systems for traffic management.

Make ALL services available for complete transactions EASILY online. ",Mobility,Connect,
Law enforcement to enforce laws already on the books. ,Edu,DEI ,
Cameras for the police in the city to use to catch drug trafficking and human trafficking.,Other,Other,
Make it easy to access and use.,Other,Other,
"I would like technology improve response times for police, fire department or other emergency services and make them faster.",Edu,DEI ,
"Help educate those who do not know how to use phones, emails, computers. As well as helping them sign up for new opportunities.",Connect,Edu,
"Better communication about available resources that can help residents. More opportunities for people to access these resources online through forms, chats, virtual assistance, etc.",Connect,Edu,
Salud y escuelas,Other,Other,
More alerts on public servicesinf,Other,Other,
"The use of mobile apps would make it easier for most people to access public services. For example, the 311 app could have interactive portions, so that if my recycle bin needs to be replaced, I can do it through the 311 app. ",Edu,Public,
"Provide ways to conveniently connect with City departments, any day of the week, any time of the day. ",Edu,Public,
Timed traffic signals,Other,Other,
To be used in a way that advances sustainable practices and conservation. ,Other,Other,
"Replace existing above-ground utility lines with in-ground facilities.
",Other,Other,
internet service available to everyone in the city at low cost,Connect,Edu,
Green spaces and solar for city garages / lots; green spaces and solar sidewalks and trails; bike/ walk/ public transit/trolley only in innermost downtown (tech comes in because have to inform everyone how to get around otherwise);  ,Enviro,Mobility,
More public wifi with added security features and technology that encourages environmental awareness,Edu,Public,
Teach people about the new technologies and what's coming,Edu,Public,
Investing in innovative technology to bring quality jobs and better work-life balance to all.,IOT,Public,
"Citizen forums 
Citizen Training for public website ",Other,Other,
"Having the opportunity to remote work for all positions who's main job is over the computer. No point in coming into the office wasting resources and producing carbon emissions, which contradicts the climate change initiative. (Epi dept) 
",Edu,Public,
Make it easily accessible ,Other,Other,
Create commuter rail services ,Mobility,Public,
Improving our access to convenient transportation. Preparing our city to become more resilient to the environmental effects of global warming. Improving public health services in general. ,Mobility,Public,
User friendly City website. ,Other,Other,
I'd like technology to be used to provide improved access to services and better management of resources to ensure sustainability and scalability of our city.,IOT,Util,
More qr codes. Uploading city documents (i.e. tax exemption) online,Other,Other,
"We can order passports online, birth certificates and social security online by being able to upload required documentation online ",Edu,Public,
"Increased access to government services. ie dmv offices, tax collection offices, and lower wait times.",Edu,Public,
Accessibility ,Other,Other,
Communication with our city and access to permits and other renewals we need to do.,Other,Other,
Faster response time ,Other,Other,
Help lower the cost of electricity ,Other,Other,
Phone app for money back for recycling ,Other,Other,
"I would like technology to be used to improve or create sidewalks of older neighborhoods that are in close proximity to historic sites (Ex: Hot Wells Hotel ruin). I would also like to see my city improve in our sustainability practices, such as the rejection of grass lawns and the normalization of alternative lawns. ",Public,Enviro,
Free broadband internet,Other,Other,
I'm not really sure,Other,Other,
More people to talk to. More knowledge.,Other,Other,
Smarter red lights. Sensory,Other,Other,
More accessible to transportation and food help,Mobility,Public,
Easy access and affordable ,Other,Other,
Available to low income and older folks to help with the change in culture ,Other,Other,
User mejor el internet para informar mas sobre las comunidades,Other,Other,
"I would like better transportation options, especially to colleges and busier parts of town.",Mobility,Public,
I think for it to be more user friendly ,Other,Other,
Rail car,Other,Other,
"To provide a better connection to the publics voices and government. And to provide higher quality facts and information (in a clear manner, free of jargon) for said public to make better decisions.",Edu,DEI ,
IÕm not sure ,Other,Other,
"I would like technology to be used to improve dmv, legal, court services.",IOT,Util,
"Better access to technology including Internet to all household or create an environment of awareness, progress, and connections. ",IOT,Util,
More and better public transportation. Ecofriendly and affordable.,Mobility,Util,
More transparency in services that are offered and how to use there. Better response times for all services. Better data on services are being utilized. ,Mobility,Util,
More convenient forms of transportation and greater access to healthcare.,Mobility,Util,
Seamless experience and ease of access,Public,Other,
Remote government services.,Mobility,Util,
Continue using data to engage and gather citizen feedback. ,Other,Other,
Apps that have real-time data and can have forms.on them to fill out. ,Other,Other,
Promoting the 311 app so more people know about it. Having a centralized point of communication is important. Having a space for innovative suggestions online or digital teams to tackle issues at a rapid rate. ,Public,Edu,
Find ways to help San Antonio citizens respond to changes in climate. ,Other,Other,
"- a digital resource of the resources available to San Antonians--organic matter trash cans, any composting services, mulch or ground cover materials, a list of local San Antonio businesses we can support
- Maps that show where we can access green spaces
- increased access to public transportation options (access meaning actual alternatives to drive, since adding an hour onto a commute isn't feasible) and accurate public transportation information to plan commute when using public transportation",Enviro,Mobility,
Incorporation of technology into Healthcare.,Util,Edu,
Offer more specific information on city tech investments so residents can offer informed feedback and/or volunteer.,Util,Edu,
Equally across board,Other,Other,
IÕd love for the city to map heat islands and food deserts. IÕd love for the city to get in contact with Cul-de-sac and ask them how they helped phoenix battle climate change and a housing crisis. IÕd like a lot of things but with the people in charge itÕs doubtful to happen.,Other,Other,
Provide in more underserved neighborhoods and communities,Other,Other,
Marketing what the city has available.,Other,Other,
"Digital bus route, digital map board on sidewalks downtown ",Mobility,Connect,
Free internet,Other,Other,
Pedestrian lights at crosswalks,Mobility,Util,
"We could have an easy to use dashboard to get quick access to most public services like testing for covid locations, vaccinations and other city services. Most importantly creating a light rail system for San Antonio.",Connect,Mobility,
Smart traffic signals and other things that improve efficiency ,Mobility,Util,
needs to be more user friendly - many times I cannot find what I'm looking for on SA govt sites,Govt Data,IOT,
Ease of access to public services. ,Mobility,Connect,
Creating more walkways and making the pedestrian way of commuting safer.  ,Mobility,Util,
Implement the use of cameras for high crime areas and school zones ,Cyber,IOT,
"Stop using automated systems that both waste the consumers time and are ineffective! Stop companies and corporations from outsourcing positions oversea, employees are not well versed to handle client needs and are taking jobs away from citizens that need them here! Find and implement ways to stop robocalls and scams across the board for all consumers at no additional cost! And many other possibilities that technology could and in time will!",Connect,IOT,
"Intelligent traffic management, and intelligent and efficient dispatch of emergency services. ",Mobility,Util,
"improved service times for transit, better information access",Mobility,Util,
Improve the ever growing transportation issue in San Antonio,Mobility,Util,
Commuter Trains.,Mobility,Util,
"Use data to improve public transportation frequency and speed.  Better integrate the traffic management systems to improve flow.  Improve the process of using and paying for public transportation services or public parking downtown.

Also, do trains count as technology? Build more trains!",Mobility,Util,
More accurate time windows for appointments ,Other,Other,
Technology that allows for the use of street swiping neighborhood streets. ,IOT,IOT,
"User friendly access to public data. Currently most city data is badly siloed, much of which is impossible to retrieve online and if you don't know the data exists, would be unlikely to be discovered.",Govt Data,IOT,
Better websites and more automation of services to reduce wait times.,IOT,IOT,
More classes to explain technology and how it works.,IOT,Edu,
Yes,Other,Other,
Quick and easy use.,Other,Other,
To better the lives of all and not just those who can afford,Public,Public,
Well designed public transportation and walkable multi-use development.,Mobility,Util,
Services should be easy to access. Permitting shouldn't be so difficult. Processes should be transparent.,Mobility,Util,
For those of us who can't afford internet public information announcements thru TV and radio when events and services are available. ,Edu,Util,
Improve public transportation,Mobility,Util,
"Tech is not the solution to improving public services. Properly funding transit, utilities, and changing to sustainable building is the solution. ",Mobility,Util,
"report issues, get updates",Other,Other,
"I believe that SA has many opportunities for greener initiatives. Technology innovation to assist with that, through informing and building reliable public transportation options would be great.",Enviro,Mobility,
Having access to our local leaders to discuss local issues should already be happening. ,Connect,Mobility,
"Public safety notifications, enable 911 service requests through text. SA Parent app to inform residents of child friendly free or low cost events, access to summer nutrition programs, subsidized day care or early childcare education options, maybe include animated video on history of SA.",Connect,Mobility,
Smart public transit and walkability,Mobility,Util,
To make it easier to report or find what you need,Connect,Mobility,
"Dashboards that are easily accessible to understand state of various public resources. Water/air quality monitoring, i.e. sampling of water during pandemic to understand scale of spread. Dashboard of free wifi color coded by speed/strength. ",Connect,Util,
"I would like to see technology be used to improve movement of people, material (rail, aviation, etc) and improve public safety while respecting privacy and human rights.",Connect,IOT,
Enable 2 way communication,Connect,IOT,
"I would like to see technology change the shape of transportation, as well as ability to sustain our water and electricity. ",Mobility,Util,
"hire trained web mgr information/technology specialists to gather, write and organize data in an easy to use and transparent way - and PLEASE get user feedback once you think you have a plan ",Connect,IOT,
VIA App needs to be totally redone. Include live updates. ,Connect,IOT,
For social equity and education ,Other,Other,
Use to build more smart businesses and increase diversity of businesses in downtown. ,Other,Other,
Better tools for police and other first responders.,Other,Other,
Make it more efficient and easy to use for users,Other,Other,
"We need subway/rail system in San Antonio, instead if buses. We can then use technology to plan trip and make public transportation more appealing.",Mobility,Util,
"for streets that are altered to one lane during construction, please lengthen the time a light is green to allow more people to pass.  at this point, on Cesar Chavez at 7:30 am it takes 15-20 to cross the intersection to get on I-10.  ",Mobility,Util,
"Easier to obtain any appointments needed. SAHA does not respond to their emails in a timely manner; create a queue that they have a certain period of time to respond and take care of something that needs to get done. My mother has been waiting over a month to get an inspection so she can move into her apartment and the email sat in an organizational mailbox for over a month and nobody had read/received it. Covid isn't as much of a factor now, people need to stop using that as an excuse for poor service.",Other,Other,
"Making WiFi available city-wide, especially to assist in online education.",IOT,Util,
"IÕd like technology to improve the availability of services and accuracy of information and ability for people to get the information they need. Most of all, IÕd like technology to improve the safety of our city.",Mobility,Util,
"Become friendlier for pedestrians and improve public transport, reduce environmental impact, live better together",Mobility,Util,
Monitoring crime.,Mobility,Util,
"Develop infrastructure(Power, technology, internet etc) that does not stop/ go down on high load - increase load capacity.
Utilize technology to improve security and reduce crime rate",Public,Util,
Actual people that can quickly respond to questions,Other,Other,
More virtual town halls to receive citizens' input.,Other,Other,
Easier access to the services and personal assistance to guide people to and through the necessary system(s).,Public,Util,
Support organizations like Geekdom.,Other,Other,
"Faster response times for emergency services, better tools for identifying and solving crimes and prosecuting criminals, emergency alert and guidance systems",Public,Util,
Rail system so people use less cars. Less dependency on gas and coal ,Mobility,Enviro,
LIGHT RAIL,Other,Other,
more robust apps to engage the local government with the people,Public,IOT,
If someone calls to report a pothole or a water main break the appropriate crew would be sent to address the problem.,Public,IOT,
QR codes placed on city property to help connect residents to important info. ,Public,IOT,
More public accessibility for disabled individuals.,Public,Util,
Reliable bus and rail schedules synced to phones or texts. See NYC bus system for examples.,Mobility,Util,
Continued progress on ease of access to healthcare and making it more affordable. ,Public,Util,
"Prioritizing affordable healthcare, and clean public transportation ",Public,Util,
"The via app trip planner is HORRIBLE. 311 app is HORRIBLE, not even functional at all. These are basic, vital resources the city is neglecting. ",Other,Other,
Using technology to help curb illegal immigration or using it to build a wall,Public,Util,
Better online integration as it applies to accessing public transportation schedules/getting on public transit ,Public,Util,
"Roof-top solar, light rail service",Public,Enviro,
Invest is proper mass transit. Do NOT invest in garbage like Tesla Hyperloop and electric buses.,Public,Util,
Use demographic data to better take care of those without means to take care of themselves.,Other,Other,
Clear and accesible voting  information,Public,Util,
Railway systems with automated schedule update notices for any delays. ,Public,Util,
Replace buses with electric rails. ,Public,Enviro,
Technology should allow all city services to be accessed on your phone.,Govt Data,Public,
Enhance public transportation and incorporate light rail.,Public,Util,
Use it to target the communities that need it most ,Public,Util,
Make city/community resources available in an easy to digest format. 211 sucks,Other,Other,
Giving citizens more voice. ,Other,Other,
"Solar energy, fiber internet, light rail ",Enviro,Util,
"Timed traffic lights, online access to more city services,",Mobility,Util,
Analysis of environmental impact ,Other,Other,
Integrate into a better public transit system ,Other,Other,
Rail way public transit system. ,Other,Other,
A rail-based public transit that spans the entire city and not just one area.,Mobility,Util,
"The city, county & state work off DOS systems.  These need to be updated to allow for city/county/state employees to be more efficient in allocating resources.",Govt Data,Public,
"Support public transport, communicate important information to city inhabitants",Mobility,Util,
Streamlined (similar) experiences across all services.,Other,Other,
Reduce costs,Other,Other,
"Expanding Internet access to all, providing reliable and safer transportation options that are better for our air quality, and providing a more reliable power grid that reduces cost to the consumer.",Mobility,Enviro,
Speaking to someone live vs the maze of automated Q&A responses.,Other,Other,
"Better city website and communication, especially communication with representatives (messaging councilperson is currently text-only), better use of data to optimize traffic and public transit routes and identify ideal areas for higher density zoning, ",Other,Other,
better connection with public transit (bus/train schedule),Mobility,Util,
everything online... let me track garbage trucks (like VIA buses)... send me text message alerting me to potential power outages... etc..,IOT,Util,
"Local leaders can use Google to see how expanding highways doesn't actually solve traffic problems, and then realize that we need a rail system and protected bike lines.",IOT,Util,
I would like it to encourage culture and community.,Other,Other,
"Real-time update about crime, traffic, events.",Other,Other,
"Public transportation such as trains, light rails, subway",Mobility,Public,
Local government websites need to be easier for the elderly to use,IOT,Edu,
Better syncing traffic lights to lessen idling vehicles.  Create a police drone to check on certain areas to combat crime and better response times..  Use technology to help track and catch habitual car thiefs by faster response times.  ,Mobility,Util,
"Trains- rail transportation, solar ",Mobility,Enviro,
Access to public and affordable transportation options.,Mobility,Util,
"Give Via busses priority at lights, provide wifi on busses AND at bus stops, improve looking up bus schedules and real-time bus ETAs on the phone, and account for temporarily missing bus stops on schedules and ETAs.",Mobility,Util,
Increasing public transport such as light rails to encourage people to move around the city. Decreasing dependency on cars will increase walkability as well as decrease obesity ,Mobility,Util,
"Improve efficiency of public transit, including adding options such as light rail.",Mobility,Util,
"Electrify trains, light rail. This technology is not old or expensive. ",Mobility,Util,
please more busses so i dont have to wait 30 min,Mobility,Util,
N/a,Other,Other,
Build trains and streetcars,Mobility,Util,
More efficient traffic and improved first responder response times,Mobility,Util,
Increase and improve public transportation ,Mobility,Util,
"Better transportation infrastructure. 
Public city calendar feeds you can subscribe to. 

",Mobility,Util,
"Needs to be user friendly.  Needs to be well advertised.  Needs to be available.  As a senior citizen I am finding the greatest obstacle to my independence is health care.  It's difficult to get to Dr offices.  Not just in terms of travel, but also in terms of easy access to the offices.  Also, time in Dr waiting rooms is excessive.  I often spend 1-2 hours in waiting room for a 5-10 minute Dr visit.  How can technology help with this?  I don't know, but I'm sure it can.",Connect,IOT,
"We need rail in this city to some extent, even if just downtown. We keep building and expanding roads which is known not to solve traffic issues. We keep increasing via bus services, but our city is so massive it leads to inefficiencies.",Mobility,Util,
Make great public transportation ,Mobility,Util,
"Jury selection process should be entirely via remote services, so a 12 member jury with alternates will only come to the courthouse in person once selected; kiosks at local grocers and stores to make bill pay etc. be more accessible; broader means of voting for those who want to fulfill civic duties without sacrificing time at work/school to take leave and do so",Other,Other,
Better accessible information and process available.,Other,Other,
Greater access and efficiency ,Other,Other,
Make it accessible like San Diego,Other,Other,
"Technology should enable public services to be easily accessible and easy to understand. There is no reason a municipal website should look 5 years behind KohlÕs website, itÕs sad",Mobility,Util,
We desperately need something like a high speed rail system to increase our public transportation offerings and decrease traffic and fuel reliance. More commuters may be willing to use public transportation if it were more timely and reliable.,Mobility,Util,
Universal app for all city services and local utilities ,IOT,Util,
I want car free zones all over San Antonio and smart traffic lights.,Mobility,Util,
To improve accessibility to various services and programs,Other,Other,
"IÕm thinking an app that has QR codes around the city, that, depending on where you are, you can scan the code, and get some sort of transportation map and select where you want to go, and then the results show you how to get there",Mobility,Util,
Internet service for everyone ,IOT,Util,
"Public transportation will be a necessity the more San Antonio grows, and technology can make that easier and more accessible ",Mobility,Util,
More accurate waiting times for public transportation. ,Mobility,Util,
Improved public transport,Mobility,Util,
Internet needs to classified as a utility so that all citizens have access to it in their home. ,IOT,Util,
Better communication ,Other,Other,
More data,Other,Other,
"Technology was useful during Covid to get updates and vital info from the city government. We still need Covid and public health updates. I appreciate these surveys to give our input. IÕd like technology in the form of red light cameras to monitor and fine dangerous speeders using Vance Jackson, Huebner, Lockhill Selma, De Zavala, etc as personal racetracks. Cars go 60+ mph through our neighborhoods. ThatÕs my #1 concern. IÕve been hit a speeder and also many close calls with crazy drivers speeding through our neighborhoods and school zones. Road rage and speeding, aggressive drivers ",Mobility,Public,
Identifying areas of concerns for citizens and optimizing procedures for improving the quality of life. ,Util,Public,
Public transportation ,Mobility,Public,
In whatever way it can be. ,Other,Other,
Making processes more clear and more efficient. Create more public spaces/parks like the Pearl. ,Other,Other,
"Increased communication about what sorts of programs are available, more outreach",Other,Other,
Rail system,Other,Other,
Rail for public transit that is safe and convenient. Connect to Austin in the future for growth.,Mobility,Public,
"There should be an easy to use app for 311. Also, I should be able to use an app like ""waste wizard"" to find specific info for my houses trash services. I'd like to be able to search what goes in what bin and schedule additional services through it. Public transit does not need such a thing because it should be so frequent I don't need to check an app!",IOT,Mobility,
better response time to the citizens request for change. ,IOT,Mobility,
Trains,Other,Other,
Optimization of public transit to serve a broader community more effectively and reliably.,Mobility,Util,
Online outreach programs to help the homeless and mentally ill through libraries,Public,Edu,
City wide train system like the dart train in Dallas,Mobility,Public,
Easier on line access to research info.  ,Other,Other,
Using technology while upgrading infrastructure ,IOT,Mobility,
Apps with clean interface to find resources near me ,IOT,Util,
Create awareness of new knowledge and technology so we can educate the people and help bridge the digital divide,IOT,Edu,
Make internet free to all,Util,Public,
Make rail available,Mobility,Public,
Residential technology to protect residents and crime. Access road systems to preauthorized public trespassing.,Other,Other,
For benchmark measurements - and to make the raw data public. ,Other,Other,
Smart street lights. Crime reporting stations like on college campuses on walking streets.,Mobility,IOT,
"ÒTechnologyÓ is not the solution. Adequate funding and the will to implement proven solutions (light rail, public housing, etc) would go much further than new technology.",Mobility,IOT,
"Make data informed decisions - identify and remediate crime hotspots/trends, traffic bottlenecks, adaptive pricing to encourage better electric and water usage, etc. Surveillance data to aid public safety and prosecution of crimes (cameras, license plate scanners, etc.).",Mobility,IOT,
Ese of accessing public service and information. Simple and easy online service to pay my taxes,Util,IOT,
More transparency in all areas,Other,Other,
"In a more efficient manner, cut back on the extras",Other,Other,
"Currently, the CoSA online payment system for bills (ie: monthly parking) requires using Internet Explorer that doesn't even exist anymore. This is a super basic pain point for everyday life and an easy fix. Super disrupting monthly just trying to pay a bill. They require paper checks or a phone back and forth to pay a small bill. The hours  this takes is costly. There are many larger issues like hyperconnectivity to improve healthcare, transportation, basic services (ie: water, safety, etc.) that could make a huge personal and economic impact on citizens, businessnesses, and visitors.",Util,IOT,
"Help me secure rental housing, housing assistance and help with improving my credit. Easier access to for sale homes before investors buy them.",Util,IOT,
"Safety, security, and stability.",Other,Other,
"Make city services more efficient. Whether that is access to city owned facilities, digitize forms/paperwork or increase phone service attendants. Think LEAN!",Other,Other,
Increased public transportation such as rail in order to connect areas outside of the downtown area.,Mobility,Util,
Better public transportations,Mobility,Util,
"I would like technology to better inform local decisions, specifically, how to make our city more resilient and environmentally friendly. ",Util,IOT,
Allow me to get a text message on my trash day or if the day has changed that week.  Allow me to find free parking downtown (if available) or spots that are convenient with access.  Provide more ways to pay for parking downtown that are seamless and convenient.  Show me a list of all the activities around the city by date/time/price so I know what is going on.  ,Other,Other,
Be able to access public transit with apps,Mobility,IOT,
an easily website or app that can be used from cel phone.,Connect,IOT,
Providing open access speeds up action times.,Connect,IOT,
"Equitable internet & digital device access, piloting new technologies & incentivizing smart city tech companies to be in SA, actual reliable workable transit/rail options that will also help reduce CO2 emissions & make the productivity gap smaller, new energy infrastructure",Connect,IOT,
